toimintotyyppi	kieltomuoto?	verbi kysymysmuodossa	subjekti	verbi	“objekti”	apuverbi	modus	aikamuoto	passiivi	Pre-vp	Post-vp
TER	FALSE	FALSE	None	None	None	None	None	None	FALSE	moi	None
KÄS	FALSE	FALSE	subject	project	object	None	IMPV	prees	FALSE	None	None
TTN+++	FALSE	FALSE	subject	project	object	None	INDV	prees	FALSE	hyvä on	None
TTN++-	FALSE	FALSE	object	kuulua	subject	None	INDV	prees	FALSE	Niin	None
TTN+-+	FALSE	FALSE	subject	project	None	None	IMPV	prees	FALSE	None	ihmeessä, toki, vain
TTN-++	FALSE	FALSE	subject	project	None	None	IMPV	prees	FALSE	None, no	sitten jos se on niin tärkeä sinulle
TTN+--	FALSE	FALSE	None	None	None	None	IMPV	None	FALSE	ole hyvä	None
TTN-+-	FALSE	FALSE	Speaker	arvata	None	None	INDV	imperf	FALSE	None	että tässä käy näin
TTN--+	FALSE	FALSE	None	None	None	None	INDV	prees	FALSE	siitä vaan	None
TTN---	FALSE	FALSE	subject	project	None	None	IMPV	prees	FALSE	no	None, sitten
TTS+++	FALSE	FALSE	subject	project	object	None	COND	prees	FALSE	hah!	? et voi olla tosissasi
TTS++-	FALSE	FALSE	subject	project	object	None	COND	prees	FALSE	None	? ei kai nyt sentään ?
TTS+-+	TRUE	FALSE	subject	project	object	None	INDV	prees	FALSE	None	None
TTS-++	TRUE	FALSE	subject	project	None	None	INDV	prees	FALSE	None	None
TTS+--	TRUE	FALSE	subject	project	object	None	COND	prees	FALSE	None	None
TTS-+-	FALSE	FALSE	subject	project	object	haluta	INDV	prees	FALSE	älä vain sano että	None
TTS--+	TRUE	FALSE	subject	project	None	None	INDV	prees	FALSE	None	None
TTS---	FALSE	FALSE	None	None	object	None	INDV	prees	FALSE	Ei ! Ei	None
TOP+++	FALSE	FALSE	subject	project	object	None	INDV	prees	FALSE	None	eikö niin ?, vai mitä ?
TOP++-	FALSE	FALSE	subject	project	object	None	COND	prees	FALSE	jos et pane pahaksesi, jos sopii	None
TOP+-+	FALSE	TRUE	subject	project	object	voida, haluta	COND	prees	FALSE	None	None
TOP-++	FALSE	FALSE	subject	project	object	None	INDV	prees	FALSE	None	None, ja sinulla ei ole siihen mitään sanomista
TOP+--	FALSE	FALSE	subject	project	object	None	COND	prees	FALSE	sopisiko sinulle mitenkään että	None
TOP-+-	FALSE	FALSE	subject	project	object	täytyä	COND	prees	FALSE	None	None
TOP--+	FALSE	FALSE	object	kuulua	subject	None	INDV	prees	FALSE	None	None
TOP---	FALSE	FALSE	None	None	None	None	INDV	None	FALSE	vaasi	tänne
TOPB	FALSE	TRUE	subject	project	object	haluta	COND	prees	FALSE	None	None
TOE	FALSE	FALSE	subject	project	object	voida,haluta	COND	prees	FALSE	None	None
TOEB	FALSE	FALSE	subject	project	object	None	COND	prees	FALSE	None	None,nyt
TOEP	FALSE	TRUE	subject	project	object	None	INDV	prees	TRUE	None	None
TIP	FALSE	TRUE	subject	project	object	None	INDV	prees	FALSE	None	None
TIPC	FALSE	FALSE	subject	project	object	None	INDV	prees	FALSE	miksi	?
TIPD	FALSE	FALSE	subject	project	object	None	INDV	prees	FALSE	miksi	juuri nyt ?,yhtäkkiä ?
TIPE	FALSE	FALSE	subject	project	object	None	COND	prees	FALSE	miksi	?
TII	TRUE	FALSE	Listener	vastata	Speaker	None,voida,haluta	INDV	prees	FALSE	miksi	?
TIIC	FALSE	FALSE	Listener	puhua	noun	None,haluta	INDV	prees	FALSE	miksi	?
TIIB	FALSE	FALSE	mikä sinulla	olla	None	None	INDV	prees	FALSE	None	?
SEL	FALSE	FALSE	subject	project	object	None	INDV	prees	FALSE	koska	None
TIPB	FALSE	FALSE	subject	project	interrogative	None	INDV	prees	FALSE	None	None
TIA+	FALSE	FALSE	subject	project	object	None	INDV	prees	FALSE	kyllä	None
TIA-	TRUE	FALSE	subject	project	object	None	INDV	prees	FALSE	None	None
TIAB+	FALSE	FALSE	None	None	object	None	INDV	prees	FALSE	None	None
TIAB-	FALSE	FALSE	None	None	object	None	INDV	prees	FALSE	None	None
TIÄ	TRUE	FALSE	Speaker	tietää	object	None	INDV	prees	FALSE	None	None
TOR	FALSE	FALSE	Listener	luulla	interrogative	None	INDV	prees	FALSE	None	None
TORB	TRUE	FALSE	None	None	None	None	INVD	prees	FALSE	ei kuulu sinulle	None
VÄI+++	FALSE	FALSE	subject	project	object	None	INDV	project	FALSE	None	None
VÄI++-	FALSE	FALSE	subject	project	object	None	INDV	project	FALSE	None	None
VÄI+-+	FALSE	FALSE	subject	project	object	None	INDV	project	FALSE	None	None
VÄI-++	FALSE	FALSE	subject	project	object	None	INDV	project	FALSE	None	None
VÄI+--	FALSE	FALSE	subject	project	object	None	INDV	project	FALSE	None	None
VÄI-+-	FALSE	FALSE	subject	project	object	None	INDV	project	FALSE	None	None
VÄI--+	FALSE	FALSE	subject	project	object	None	INDV	project	FALSE	None	None
VÄI---	FALSE	FALSE	subject	project	object	None	INDV	project	FALSE	None	None
VÄIB	FALSE	FALSE	subject	project	object	None	INDV	prees	FALSE	mutta kun	None
SAM-KAN	FALSE	FALSE	subject	project	object	None,taitaa	INDV	prees	FALSE	kyllä	None
ERI-KAN	TRUE	FALSE	subject	project	object	None	INDV	prees	FALSE	None	None
KAN	FALSE	FALSE	subject	project	object	None	INDV	prees	FALSE	None	None
KER	FALSE	FALSE	subject	project	object	None	INDV	imperf	FALSE	None	None
KOA	FALSE	TRUE	None	None	None	None	INDV	imperf	FALSE	mitä	None
KOB	FALSE	TRUE	subject	None	None	None	INDV	prees	FALSE	interrogative	None
KOBV	FALSE	FALSE	subject	None	attribute	None	INDV	prees	FALSE	None	None
